,id,url,genre,editors_choice,release_year,release_month,release_day,score_phrase,title,platform,score
0,0,/games/littlebigplanet-vita/vita-98907,Platformer,Y,2012,9,12,Amazing,LittleBigPlanet PS Vita,PlayStation Vita,9.0
1,1,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,Platformer,Y,2012,9,12,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9.0
2,2,/games/splice/ipad-141070,Puzzle,N,2012,9,12,Great,Splice: Tree of Life,iPad,8.5
3,3,/games/nhl-13/xbox-360-128182,Sports,N,2012,9,11,Great,NHL 13,Xbox 360,8.5
4,4,/games/nhl-13/ps3-128181,Sports,N,2012,9,11,Great,NHL 13,PlayStation 3,8.5
5,5,/games/total-war-battles-shogun/mac-142565,Strategy,N,2012,9,11,Good,Total War Battles: Shogun,Macintosh,7.0
6,6,/games/double-dragon-neon/xbox-360-131320,Fighting,N,2012,9,11,Awful,Double Dragon: Neon,Xbox 360,3.0
7,7,/games/guild-wars-2/pc-896298,RPG,Y,2012,9,11,Amazing,Guild Wars 2,PC,9.0
8,8,/games/double-dragon-neon/ps3-131321,Fighting,N,2012,9,11,Awful,Double Dragon: Neon,PlayStation 3,3.0
9,9,/games/total-war-battles-shogun/pc-142564,Strategy,N,2012,9,11,Good,Total War Battles: Shogun,PC,7.0
10,10,/games/tekken-tag-tournament-2/ps3-124584,Fighting,N,2012,9,11,Good,Tekken Tag Tournament 2,PlayStation 3,7.5
11,11,/games/tekken-tag-tournament-2/xbox-360-124581,Fighting,N,2012,9,11,Good,Tekken Tag Tournament 2,Xbox 360,7.5
12,12,/games/wild-blood/iphone-139363,,N,2012,9,10,Good,Wild Blood,iPhone,7.0
13,13,/games/mark-of-the-ninja-135615/xbox-360-129276,"Action, Adventure",Y,2012,9,7,Amazing,Mark of the Ninja,Xbox 360,9.0
14,14,/games/mark-of-the-ninja-135615/pc-143761,"Action, Adventure",Y,2012,9,7,Amazing,Mark of the Ninja,PC,9.0
15,15,/games/home-a-unique-horror-adventure/mac-20014750,Adventure,N,2012,9,6,Okay,Home: A Unique Horror Adventure,Macintosh,6.5
16,16,/games/home-a-unique-horror-adventure/pc-137135,Adventure,N,2012,9,6,Okay,Home: A Unique Horror Adventure,PC,6.5
17,17,/games/avengers-initiative/iphone-141579,Action,N,2012,9,5,Great,Avengers Initiative,iPhone,8.0
18,18,/games/way-of-the-samurai-4/ps3-23516,"Action, Adventure",N,2012,9,3,Mediocre,Way of the Samurai 4,PlayStation 3,5.5
19,19,/games/jojos-bizarre-adventure/xbox-360-137717,Fighting,N,2012,9,3,Good,JoJo's Bizarre Adventure HD,Xbox 360,7.0
20,20,/games/jojos-bizarre-adventure/ps3-137896,Fighting,N,2012,9,3,Good,JoJo's Bizarre Adventure HD,PlayStation 3,7.0
21,21,/games/mass-effect-3-leviathan/xbox-360-138918,RPG,N,2012,8,31,Good,Mass Effect 3: Leviathan,Xbox 360,7.5
22,22,/games/mass-effect-3-leviathan/ps3-138915,RPG,N,2012,8,31,Good,Mass Effect 3: Leviathan,PlayStation 3,7.5
23,23,/games/mass-effect-3-leviathan/pc-138919,RPG,N,2012,8,31,Good,Mass Effect 3: Leviathan,PC,7.5
24,24,/games/dark-souls-prepare-to-die-edition/pc-131930,"Action, RPG",Y,2012,8,31,Amazing,Dark Souls (Prepare to Die Edition),PC,9.0
25,25,/games/symphony/pc-136470,Shooter,N,2012,8,30,Good,Symphony,PC,7.0
26,26,/games/bastion/ipad-140874,"Action, RPG",Y,2012,8,30,Amazing,Bastion,iPad,9.0
27,27,/games/tom-clancys-ghost-recon-online/pc-109114,Shooter,N,2012,8,29,Good,Tom Clancy's Ghost Recon Phantoms,PC,7.5
28,28,/games/thirty-flights-of-loving/pc-138374,Adventure,N,2012,8,29,Great,Thirty Flights of Loving,PC,8.0
29,29,/games/legasista/ps3-127147,"Action, RPG",N,2012,8,28,Okay,Legasista,PlayStation 3,6.5
30,30,/games/the-walking-dead-season-1-episode-3/mac-135875,Adventure,Y,2012,8,28,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,9.0
31,31,/games/world-of-warcraft-mists-of-pandaria/pc-114681,RPG,Y,2012,10,4,Great,World of Warcraft: Mists of Pandaria,PC,8.7
32,32,/games/hell-yeah-wrath-of-the-dead-rabbit/ps3-129409,Platformer,N,2012,10,4,Bad,Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3,4.9
33,33,/games/pokemon-white-version-2/nds-129228,RPG,Y,2012,10,3,Amazing,Pokemon White Version 2,Nintendo DS,9.6
34,34,/games/war-of-the-roses-140577/pc-115849,Action,N,2012,10,3,Good,War of the Roses,PC,7.3
35,35,/games/pokemon-black-version-2/nds-129224,RPG,Y,2012,10,3,Amazing,Pokemon Black Version 2,Nintendo DS,9.6
36,36,/games/drakerider/iphone-135745,RPG,N,2012,10,3,Okay,Drakerider,iPhone,6.5
37,37,/games/the-walking-dead-season-1-episode-3/xbox-360-135872,Adventure,Y,2012,8,28,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Xbox 360,9.0
